hindi,marathi,roman,situation,note,status
मैं मराठी सीख रहा हूँ,मी मराठी शिकतोय,main marathi seekh raha hoon,intro,male — female शिकतेय,draft
मुझे थोड़ी मराठी आती है,मला थोडं मराठी येतं,mujhe thodi marathi aati hai,intro,,draft
मुझे मराठी नहीं आती,मला मराठी येत नाही,mujhe marathi nahi aati,intro,,draft
हाँ,हो,haan,talk,,draft
नहीं,नाही,nahi,talk,,draft
ठीक है,ठीक आहे,theek hai,talk,बरं is the casual one,draft
अच्छा,बरं,achha,talk,,draft
शायद,कदाचित,shayad,talk,,draft
ज़रूर,नक्की,zaroor,talk,,draft
बिल्कुल,अगदी,bilkul,talk,,draft
क्यों?,का?,kyon,talk,,draft
क्या?,काय?,kya,talk,,draft
कैसे?,कसं?,kaise,talk,,draft
कहाँ?,कुठे?,kahan,talk,,draft
कब?,कधी?,kab,talk,,draft
कौन?,कोण?,kaun,talk,,draft
कितना?,किती?,kitna,talk,,draft
कौन सा?,कोणता?,kaun sa,talk,,draft
मुझे समझ नहीं आया,मला समजलं नाही,mujhe samajh nahi aaya,talk,,draft
समझ गया,समजलं,samajh gaya,talk,,draft
धीरे बोलिए,हळू बोला,dheere boliye,talk,,draft
फिर से बोलिए,पुन्हा सांगा,phir se boliye,talk,,draft
क्या आप हिंदी बोलते हैं?,तुम्ही हिंदी बोलता का?,kya aap hindi bolte hain,talk,,draft
इसे मराठी में क्या कहते हैं?,याला मराठीत काय म्हणतात?,ise marathi mein kya kehte hain,talk,,draft
इसका मतलब क्या है?,याचा अर्थ काय?,iska matlab kya hai,talk,,draft
मुझे पता नहीं,मला माहीत नाही,mujhe pata nahi,talk,,draft
मुझे लगता है,मला वाटतं,mujhe lagta hai,talk,,draft
मैं सहमत हूँ,मी सहमत आहे,main sehmat hoon,talk,,draft
सच में?,खरंच?,sach mein,talk,,draft
बहुत अच्छा,खूप छान,bahut achha,talk,,draft
वाह!,वा!,waah,talk,,draft
चलो,चला,chalo,talk,,draft
रुको,थांबा,ruko,talk,,draft
देखो,बघा,dekho,talk,,draft
सुनो,ऐका,suno,talk,,draft
बताओ,सांगा,batao,talk,,draft
एक मिनट,एक मिनिट,ek minute,talk,,draft
जल्दी करो,लवकर करा,jaldi karo,talk,,draft
आराम से,सावकाश,aaram se,talk,,draft
मैं व्यस्त हूँ,मी कामात आहे,main vyast hoon,talk,बिझी आहे is what people say,draft
मुझे देर हो रही है,मला उशीर होतोय,mujhe der ho rahi hai,talk,,draft
कोई दिक्कत नहीं,काही प्रॉब्लेम नाही,koi dikkat nahi,talk,,draft
मज़ाक कर रहा हूँ,गंमत करतोय,mazaak kar raha hoon,talk,male — female करतेय,draft
धन्यवाद,धन्यवाद,dhanyavaad,courtesy,आभारी आहे is warmer,draft
बहुत-बहुत धन्यवाद,खूप खूप आभार,bahut bahut dhanyavaad,courtesy,,draft
माफ़ कीजिए,माफ करा,maaf kijiye,courtesy,,draft
मुझे खेद है,मला वाईट वाटतं,mujhe khed hai,courtesy,,draft
कृपया,कृपया,kripaya,courtesy,rarely said aloud — the polite verb ending does the work,draft
कोई बात नहीं,काही हरकत नाही,koi baat nahi,courtesy,,draft
बधाई हो,अभिनंदन,badhai ho,courtesy,,draft
शुभकामनाएँ,शुभेच्छा,shubhkamnayen,courtesy,,draft
जन्मदिन मुबारक,वाढदिवसाच्या शुभेच्छा,janmdin mubarak,courtesy,,draft
दिवाली की शुभकामनाएँ,दिवाळीच्या शुभेच्छा,diwali ki shubhkamnayen,courtesy,,draft
नया साल मुबारक,नवीन वर्षाच्या शुभेच्छा,naya saal mubarak,courtesy,,draft
क्षमा करें,क्षमा करा,kshama karen,courtesy,formal,draft
एक,एक,ek,numbers,,draft
दो,दोन,do,numbers,,draft
तीन,तीन,teen,numbers,,draft
चार,चार,chaar,numbers,,draft
पाँच,पाच,paanch,numbers,,draft
छह,सहा,chhah,numbers,,draft
सात,सात,saat,numbers,,draft
आठ,आठ,aath,numbers,,draft
नौ,नऊ,nau,numbers,,draft
दस,दहा,das,numbers,,draft
ग्यारह,अकरा,gyarah,numbers,,draft
बारह,बारा,barah,numbers,,draft
पंद्रह,पंधरा,pandrah,numbers,,draft
बीस,वीस,bees,numbers,,draft
पच्चीस,पंचवीस,pachees,numbers,,draft
तीस,तीस,tees,numbers,,draft
चालीस,चाळीस,chalees,numbers,,draft
पचास,पन्नास,pachas,numbers,,draft
साठ,साठ,saath,numbers,,draft
सत्तर,सत्तर,sattar,numbers,,draft
अस्सी,ऐंशी,assi,numbers,,draft
नब्बे,नव्वद,nabbe,numbers,,draft
सौ,शंभर,sau,numbers,,draft
पाँच सौ,पाचशे,paanch sau,numbers,,draft
हज़ार,हजार,hazaar,numbers,,draft
लाख,लाख,lakh,numbers,,draft
आधा,अर्धा,aadha,numbers,,draft
पहला,पहिला,pehla,numbers,,draft
दूसरा,दुसरा,doosra,numbers,,draft
आखिरी,शेवटचा,aakhri,numbers,,draft
आज,आज,aaj,time,,draft
कल (आने वाला),उद्या,kal,time,tomorrow,draft
कल (बीता हुआ),काल,kal,time,yesterday,draft
परसों,परवा,parson,time,,draft
अभी,आत्ता,abhi,time,,draft
बाद में,नंतर,baad mein,time,,draft
पहले,आधी,pehle,time,,draft
सुबह,सकाळ,subah,time,,draft
दोपहर,दुपार,dopahar,time,,draft
शाम,संध्याकाळ,shaam,time,,draft
रात,रात्र,raat,time,,draft
हमेशा,नेहमी,hamesha,time,,draft
कभी नहीं,कधीच नाही,kabhi nahi,time,,draft
कभी-कभी,कधी कधी,kabhi kabhi,time,,draft
रोज़,रोज,roz,time,,draft
हफ़्ता,आठवडा,hafta,time,,draft
महीना,महिना,mahina,time,,draft
साल,वर्ष,saal,time,,draft
घंटा,तास,ghanta,time,,draft
मिनट,मिनिट,minute,time,,draft
कितने बजे हैं?,किती वाजले?,kitne baje hain,time,,draft
पाँच बजे हैं,पाच वाजले,paanch baje hain,time,,draft
साढ़े चार,साडे चार,saadhe chaar,time,,draft
सोमवार,सोमवार,somvar,time,,draft
मंगलवार,मंगळवार,mangalvar,time,,draft
बुधवार,बुधवार,budhvar,time,,draft
गुरुवार,गुरुवार,guruvar,time,,draft
शुक्रवार,शुक्रवार,shukravar,time,,draft
शनिवार,शनिवार,shanivar,time,,draft
रविवार,रविवार,ravivar,time,,draft
छुट्टी,सुट्टी,chhutti,time,,draft
माँ,आई,maa,family,,draft
पिता,बाबा,pita,family,वडील is the formal word,draft
भाई,भाऊ,bhai,family,,draft
बहन,बहीण,behen,family,,draft
बड़ा भाई,दादा,bada bhai,family,दादा means elder brother in Marathi — not grandfather,draft
बड़ी बहन,ताई,badi behen,family,,draft
छोटा भाई,लहान भाऊ,chhota bhai,family,,draft
दादा (पिता के पिता),आजोबा,dada,family,,draft
दादी,आजी,dadi,family,,draft
नाना,आजोबा,nana,family,,draft
नानी,आजी,nani,family,,draft
चाचा,काका,chacha,family,,draft
चाची,काकू,chachi,family,,draft
मामा,मामा,mama,family,,draft
मामी,मामी,mami,family,,draft
बुआ,आत्या,bua,family,,draft
मौसी,मावशी,mausi,family,,draft
पति,नवरा,pati,family,,draft
पत्नी,बायको,patni,family,,draft
बेटा,मुलगा,beta,family,,draft
बेटी,मुलगी,beti,family,,draft
बच्चा,मूल,bachcha,family,,draft
दोस्त,मित्र,dost,family,मैत्रीण for a female friend,draft
परिवार,कुटुंब,parivaar,family,,draft
यह कितने का है?,हे कितीला आहे?,yeh kitne ka hai,market,,draft
किलो कितने का?,किलो कितीला?,kilo kitne ka,market,,draft
बहुत महँगा है,खूप महाग आहे,bahut mehenga hai,market,,draft
थोड़ा कम कीजिए,थोडं कमी करा,thoda kam kijiye,market,,draft
सही दाम बताइए,बरोबर भाव सांगा,sahi daam bataiye,market,,draft
मुझे यह चाहिए,मला हे हवं आहे,mujhe yeh chahiye,market,,draft
मुझे यह नहीं चाहिए,मला हे नको,mujhe yeh nahi chahiye,market,,draft
एक किलो दीजिए,एक किलो द्या,ek kilo dijiye,market,,draft
आधा किलो,अर्धा किलो,aadha kilo,market,,draft
ताज़ा है?,ताजं आहे का?,taaza hai,market,,draft
यह खराब है,हे खराब आहे,yeh kharab hai,market,,draft
और कुछ?,आणखी काही?,aur kuchh,market,,draft
बस इतना ही,एवढंच,bas itna hi,market,,draft
छुट्टे हैं?,सुटे आहेत का?,chhutte hain,market,,draft
छुट्टे नहीं हैं,सुटे नाहीत,chhutte nahi hain,market,,draft
पैसे वापस दीजिए,पैसे परत द्या,paise wapas dijiye,market,,draft
थैली दीजिए,पिशवी द्या,thaili dijiye,market,,draft
पैसे,पैसे,paise,market,,draft
सब्ज़ी,भाजी,sabzi,market,,draft
फल,फळ,phal,market,,draft
आलू,बटाटा,aloo,market,,draft
प्याज़,कांदा,pyaaz,market,,draft
टमाटर,टोमॅटो,tamatar,market,,draft
मिर्च,मिरची,mirch,market,,draft
धनिया,कोथिंबीर,dhaniya,market,,draft
नींबू,लिंबू,nimbu,market,,draft
केला,केळं,kela,market,,draft
आम,आंबा,aam,market,,draft
सेब,सफरचंद,seb,market,,draft
दूध,दूध,doodh,market,,draft
अंडा,अंडं,anda,market,,draft
चावल (कच्चा),तांदूळ,chawal,market,cooked rice is भात,draft
आटा,पीठ,aata,market,,draft
दाल,डाळ,daal,market,,draft
तेल,तेल,tel,market,,draft
नमक,मीठ,namak,market,,draft
चीनी,साखर,cheeni,market,,draft
चाय पत्ती,चहा पावडर,chai patti,market,,draft
मुझे भूख लगी है,मला भूक लागली आहे,mujhe bhookh lagi hai,food,,draft
मुझे प्यास लगी है,मला तहान लागली आहे,mujhe pyaas lagi hai,food,,draft
पानी दीजिए,पाणी द्या,paani dijiye,food,,draft
खाना तैयार है?,जेवण तयार आहे का?,khana taiyar hai,food,,draft
खाना बहुत अच्छा है,जेवण खूप छान आहे,khana bahut achha hai,food,,draft
बहुत तीखा है,खूप तिखट आहे,bahut teekha hai,food,,draft
कम तीखा बनाइए,कमी तिखट करा,kam teekha banaiye,food,,draft
मैं शाकाहारी हूँ,मी शाकाहारी आहे,main shakahari hoon,food,,draft
मेन्यू दीजिए,मेन्यू द्या,menu dijiye,food,,draft
बिल लाइए,बिल आणा,bill laiye,food,,draft
पेट भर गया,पोट भरलं,pet bhar gaya,food,,draft
और दीजिए,अजून द्या,aur dijiye,food,,draft
बस (काफ़ी है),पुरे,bas,food,enough,draft
नाश्ता,न्याहारी,nashta,food,,draft
खाना (भोजन),जेवण,khana,food,,draft
चाय,चहा,chai,food,,draft
कॉफ़ी,कॉफी,coffee,food,,draft
रोटी,पोळी,roti,food,,draft
चावल (पका),भात,chawal,food,,draft
सब्ज़ी (पकी),भाजी,sabzi,food,,draft
दही,दही,dahi,food,,draft
मीठा,गोड,meetha,food,,draft
नमकीन,खारट,namkeen,food,,draft
गरम,गरम,garam,food,,draft
ठंडा,थंड,thanda,food,,draft
स्वादिष्ट,चविष्ट,swadisht,food,,draft
भरपेट खाइए,पोटभर जेवा,bharpet khaiye,food,,draft
यह कहाँ है?,हे कुठे आहे?,yeh kahan hai,travel,,draft
स्टेशन कहाँ है?,स्टेशन कुठे आहे?,station kahan hai,travel,,draft
कितनी दूर है?,किती लांब आहे?,kitni door hai,travel,,draft
कितना समय लगेगा?,किती वेळ लागेल?,kitna samay lagega,travel,,draft
सीधे जाइए,सरळ जा,seedhe jaiye,travel,,draft
बाएँ मुड़िए,डावीकडे वळा,baayen mudiye,travel,,draft
दाएँ मुड़िए,उजवीकडे वळा,daayen mudiye,travel,,draft
पास में,जवळ,paas mein,travel,,draft
दूर,लांब,door,travel,,draft
सामने,समोर,saamne,travel,,draft
पीछे,मागे,peechhe,travel,,draft
ऊपर,वर,oopar,travel,,draft
नीचे,खाली,neeche,travel,,draft
यहाँ,इथे,yahan,travel,,draft
वहाँ,तिथे,wahan,travel,,draft
मैं रास्ता भूल गया,मी रस्ता चुकलो,main rasta bhool gaya,travel,male — female चुकले,draft
यह रास्ता कहाँ जाता है?,हा रस्ता कुठे जातो?,yeh rasta kahan jata hai,travel,,draft
यहाँ रोकिए,इथे थांबा,yahan rokiye,travel,,draft
कितना हुआ?,किती झाले?,kitna hua,travel,,draft
मीटर से चलिए,मीटरने चला,meter se chaliye,travel,,draft
शेयर में?,शेअरमध्ये?,share mein,travel,,draft
जल्दी चलिए,लवकर चला,jaldi chaliye,travel,,draft
आराम से चलाइए,सावकाश चालवा,aaram se chalaiye,travel,,draft
अगला स्टेशन कौन सा है?,पुढचं स्टेशन कोणतं?,agla station kaun sa hai,travel,,draft
यह ट्रेन कहाँ जाती है?,ही ट्रेन कुठे जाते?,yeh train kahan jaati hai,travel,,draft
टिकट कहाँ मिलेगा?,तिकीट कुठे मिळेल?,ticket kahan milega,travel,,draft
एक टिकट दीजिए,एक तिकीट द्या,ek ticket dijiye,travel,,draft
वापसी टिकट,परतीचं तिकीट,wapsi ticket,travel,,draft
बस कब आएगी?,बस कधी येईल?,bus kab aayegi,travel,,draft
थोड़ा खिसकिए,जरा सरका,thoda khiskiye,travel,,draft
उतरना है,उतरायचं आहे,utarna hai,travel,,draft
रास्ता दीजिए,वाट द्या,rasta dijiye,travel,,draft
रिक्शा,रिक्षा,rickshaw,travel,,draft
गाड़ी,गाडी,gaadi,travel,,draft
सड़क,रस्ता,sadak,travel,,draft
पुल,पूल,pul,travel,,draft
मोड़,वळण,mod,travel,,draft
घर पर कोई है?,घरी कोणी आहे का?,ghar par koi hai,home,,draft
अंदर आइए,आत या,andar aaiye,home,,draft
दरवाज़ा बंद कीजिए,दार बंद करा,darwaza band kijiye,home,,draft
लाइट बंद करो,लाईट बंद कर,light band karo,home,casual,draft
पंखा चालू करो,पंखा चालू कर,pankha chalu karo,home,casual,draft
पानी नहीं आ रहा,पाणी येत नाहीये,paani nahi aa raha,home,,draft
बिजली गई,लाईट गेली,bijli gayi,home,,draft
कचरा,कचरा,kachra,home,,draft
सफ़ाई,साफसफाई,safai,home,,draft
कपड़े,कपडे,kapde,home,,draft
बर्तन,भांडी,bartan,home,,draft
चाबी,किल्ली,chaabi,home,,draft
कमरा,खोली,kamra,home,,draft
रसोई,स्वयंपाकघर,rasoi,home,,draft
बाथरूम,बाथरूम,bathroom,home,,draft
छत,गच्ची,chhat,home,,draft
सीढ़ी,जिना,seedhi,home,,draft
लिफ़्ट,लिफ्ट,lift,home,,draft
किराया,भाडं,kiraya,home,,draft
मकान मालिक,घरमालक,makaan malik,home,,draft
पड़ोसी,शेजारी,padosi,home,,draft
काम वाली,कामवाली,kaam wali,home,मावशी is the respectful way to address her,draft
दूध वाला,दूधवाला,doodh wala,home,,draft
सोसाइटी,सोसायटी,society,home,,draft
मीटिंग कब है?,मीटिंग कधी आहे?,meeting kab hai,office,,draft
काम हो गया?,काम झालं का?,kaam ho gaya,office,,draft
काम बाकी है,काम बाकी आहे,kaam baaki hai,office,,draft
मैं छुट्टी पर हूँ,मी सुट्टीवर आहे,main chhutti par hoon,office,,draft
कल छुट्टी है,उद्या सुट्टी आहे,kal chhutti hai,office,,draft
साहब आए हैं?,साहेब आले आहेत का?,sahab aaye hain,office,,draft
फ़ाइल कहाँ है?,फाईल कुठे आहे?,file kahan hai,office,,draft
साइन कीजिए,सही करा,sign kijiye,office,,draft
ईमेल भेज दिया,ईमेल पाठवला,email bhej diya,office,,draft
कॉल कीजिए,फोन करा,call kijiye,office,,draft
मैं बाद में बात करता हूँ,मी नंतर बोलतो,main baad mein baat karta hoon,office,male — female बोलते,draft
तनख़्वाह,पगार,tankhwah,office,,draft
दफ़्तर,ऑफिस,daftar,office,कार्यालय is the formal word,draft
मालिक,मालक,malik,office,,draft
सहकर्मी,सहकारी,sahkarmi,office,,draft
हैलो,हॅलो,hello,phone,,draft
कौन बोल रहा है?,कोण बोलतंय?,kaun bol raha hai,phone,,draft
मैं ___ बोल रहा हूँ,मी ___ बोलतोय,main bol raha hoon,phone,male — female बोलतेय,draft
आवाज़ नहीं आ रही,आवाज येत नाहीये,awaaz nahi aa rahi,phone,,draft
बाद में कॉल करता हूँ,नंतर फोन करतो,baad mein call karta hoon,phone,male — female करते,draft
नंबर क्या है?,नंबर काय आहे?,number kya hai,phone,,draft
मिस्ड कॉल दे दो,मिस कॉल दे,missed call de do,phone,casual,draft
फ़ोन बंद है,फोन बंद आहे,phone band hai,phone,,draft
नेटवर्क नहीं है,नेटवर्क नाहीये,network nahi hai,phone,,draft
मैसेज कर दो,मेसेज कर,message kar do,phone,casual,draft
मेरी तबीयत ठीक नहीं है,माझी तब्येत बरी नाही,meri tabiyat theek nahi hai,health,,draft
मुझे बुखार है,मला ताप आहे,mujhe bukhar hai,health,,draft
सिर दर्द हो रहा है,डोकं दुखतंय,sir dard ho raha hai,health,,draft
पेट दर्द हो रहा है,पोट दुखतंय,pet dard ho raha hai,health,,draft
खाँसी है,खोकला आहे,khansi hai,health,,draft
सर्दी हो गई,सर्दी झाली,sardi ho gayi,health,,draft
चक्कर आ रहे हैं,चक्कर येतायत,chakkar aa rahe hain,health,,draft
दवा,औषध,dawa,health,,draft
डॉक्टर,डॉक्टर,doctor,health,,draft
अस्पताल,हॉस्पिटल,aspatal,health,रुग्णालय is the formal word,draft
दवाई की दुकान,मेडिकल,dawai ki dukaan,health,,draft
यह दवा कब लेनी है?,हे औषध कधी घ्यायचं?,yeh dawa kab leni hai,health,,draft
खाने के बाद,जेवणानंतर,khane ke baad,health,,draft
खाने से पहले,जेवणाआधी,khane se pehle,health,,draft
आराम कीजिए,आराम करा,aaram kijiye,health,,draft
जल्दी ठीक हो जाइए,लवकर बरे व्हा,jaldi theek ho jaiye,health,,draft
दर्द,दुखणं,dard,health,,draft
चोट,जखम,chot,health,,draft
आँख,डोळा,aankh,health,,draft
कान,कान,kaan,health,,draft
नाक,नाक,naak,health,,draft
हाथ,हात,haath,health,,draft
पैर,पाय,pair,health,,draft
पीठ,पाठ,peeth,health,,draft
दाँत,दात,daant,health,,draft
मुझे मदद चाहिए,मला मदत हवी आहे,mujhe madad chahiye,help,,draft
डॉक्टर को बुलाइए,डॉक्टरांना बोलवा,doctor ko bulaiye,help,,draft
पुलिस को बुलाइए,पोलिसांना बोलवा,police ko bulaiye,help,,draft
एम्बुलेंस बुलाइए,अँब्युलन्स बोलवा,ambulance bulaiye,help,,draft
आग लगी है,आग लागली आहे,aag lagi hai,help,,draft
चोर!,चोर!,chor,help,,draft
बचाओ!,वाचवा!,bachao,help,,draft
मेरा फ़ोन खो गया,माझा फोन हरवला,mera phone kho gaya,help,,draft
मेरा बटुआ खो गया,माझं पाकीट हरवलं,mera batua kho gaya,help,,draft
मैं खो गया हूँ,मी हरवलो आहे,main kho gaya hoon,help,male — female हरवले,draft
जल्दी आइए,लवकर या,jaldi aaiye,help,,draft
सावधान,सावध,savdhan,help,,draft
ख़तरा,धोका,khatra,help,,draft
पुलिस स्टेशन कहाँ है?,पोलीस स्टेशन कुठे आहे?,police station kahan hai,help,,draft
यह मुझे दिखाइए,हे मला दाखवा,yeh mujhe dikhaiye,shopping,,draft
दूसरा रंग है?,दुसरा रंग आहे का?,doosra rang hai,shopping,,draft
बड़ा साइज़ है?,मोठा साईज आहे का?,bada size hai,shopping,,draft
छोटा साइज़,लहान साईज,chhota size,shopping,,draft
ट्राई कर सकता हूँ?,घालून बघू का?,try kar sakta hoon,shopping,for clothes,draft
यह पसंद आया,हे आवडलं,yeh pasand aaya,shopping,,draft
यह पसंद नहीं आया,हे आवडलं नाही,yeh pasand nahi aaya,shopping,,draft
कार्ड चलेगा?,कार्ड चालेल का?,card chalega,shopping,,draft
यूपीआई चलेगा?,यूपीआय चालेल का?,UPI chalega,shopping,,draft
बिल दीजिए,बिल द्या,bill dijiye,shopping,,draft
वापस कर सकते हैं?,परत करता येईल का?,wapas kar sakte hain,shopping,,draft
दुकान कब खुलती है?,दुकान कधी उघडतं?,dukaan kab khulti hai,shopping,,draft
दुकान कब बंद होती है?,दुकान कधी बंद होतं?,dukaan kab band hoti hai,shopping,,draft
कपड़ा,कापड,kapda,shopping,,draft
साड़ी,साडी,saree,shopping,,draft
कमीज़,शर्ट,kameez,shopping,,draft
जूते,बूट,joote,shopping,,draft
चप्पल,चप्पल,chappal,shopping,,draft
बैग,बॅग,bag,shopping,,draft
लाल,लाल,laal,shopping,,draft
नीला,निळा,neela,shopping,,draft
हरा,हिरवा,hara,shopping,,draft
पीला,पिवळा,peela,shopping,,draft
सफ़ेद,पांढरा,safed,shopping,,draft
काला,काळा,kaala,shopping,,draft
आज गर्मी है,आज गरम आहे,aaj garmi hai,weather,उकडतंय — it's sweltering,draft
आज ठंड है,आज थंडी आहे,aaj thand hai,weather,,draft
बारिश हो रही है,पाऊस पडतोय,baarish ho rahi hai,weather,,draft
बारिश आएगी,पाऊस येईल,baarish aayegi,weather,,draft
छाता लो,छत्री घे,chhata lo,weather,casual,draft
मौसम अच्छा है,हवा छान आहे,mausam achha hai,weather,,draft
बहुत उमस है,खूप दमट आहे,bahut umas hai,weather,,draft
धूप,ऊन,dhoop,weather,,draft
हवा,वारा,hawa,weather,,draft
बादल,ढग,baadal,weather,,draft
मानसून,पावसाळा,monsoon,weather,,draft
गर्मी का मौसम,उन्हाळा,garmi ka mausam,weather,,draft
सर्दी का मौसम,हिवाळा,sardi ka mausam,weather,,draft
मैं खुश हूँ,मी खूश आहे,main khush hoon,feelings,आनंदी is the pure Marathi,draft
मैं उदास हूँ,मी उदास आहे,main udaas hoon,feelings,,draft
मुझे गुस्सा आ रहा है,मला राग येतोय,mujhe gussa aa raha hai,feelings,,draft
मैं थक गया,मी दमलो,main thak gaya,feelings,male — female दमले,draft
मुझे नींद आ रही है,मला झोप येतेय,mujhe neend aa rahi hai,feelings,,draft
मुझे डर लग रहा है,मला भीती वाटतेय,mujhe dar lag raha hai,feelings,,draft
मुझे अच्छा लगा,मला छान वाटलं,mujhe achha laga,feelings,,draft
मुझे बुरा लगा,मला वाईट वाटलं,mujhe bura laga,feelings,,draft
मैं बोर हो रहा हूँ,मला कंटाळा आलाय,main bore ho raha hoon,feelings,,draft
मुझे याद आती है,मला आठवण येते,mujhe yaad aati hai,feelings,,draft
मुझे तुमसे प्यार है,माझं तुझ्यावर प्रेम आहे,mujhe tumse pyaar hai,feelings,,draft
मुझे चिंता है,मला काळजी वाटते,mujhe chinta hai,feelings,,draft
कुछ नहीं होगा,काही होणार नाही,kuchh nahi hoga,feelings,reassurance,draft
मैं,मी,main,words,,draft
तुम,तू,tum,words,,draft
आप,तुम्ही,aap,words,,draft
वह,तो / ती / ते,vah,words,he / she / it,draft
हम,आम्ही,hum,words,आपण when the listener is included,draft
वे,ते,ve,words,,draft
यह,हा / ही / हे,yeh,words,by gender of the noun,draft
मेरा,माझा,mera,words,माझी / माझं by gender of the noun,draft
तुम्हारा,तुझा,tumhara,words,,draft
आपका,तुमचा,aapka,words,,draft
उसका,त्याचा / तिचा,uska,words,his / her,draft
हमारा,आमचा,hamara,words,,draft
और,आणि,aur,words,,draft
लेकिन,पण,lekin,words,,draft
या,किंवा,ya,words,,draft
क्योंकि,कारण,kyonki,words,,draft
अगर,जर,agar,words,,draft
तो,तर,to,words,,draft
भी,पण / सुद्धा,bhi,words,,draft
बहुत,खूप,bahut,words,,draft
थोड़ा,थोडं,thoda,words,,draft
ज़्यादा,जास्त,zyada,words,,draft
कम,कमी,kam,words,,draft
बड़ा,मोठा,bada,words,,draft
छोटा,लहान,chhota,words,,draft
अच्छा (गुण),चांगला,achha,words,,draft
बुरा,वाईट,bura,words,,draft
नया,नवीन,naya,words,,draft
पुराना,जुना,purana,words,,draft
सस्ता,स्वस्त,sasta,words,,draft
महँगा,महाग,mehenga,words,,draft
जल्दी,लवकर,jaldi,words,,draft
धीरे,हळू,dheere,words,,draft
सही,बरोबर,sahi,words,,draft
ग़लत,चूक,galat,words,,draft
खुला,उघडा,khula,words,,draft
बंद,बंद,band,words,,draft
आना,येणे,aana,words,,draft
जाना,जाणे,jaana,words,,draft
करना,करणे,karna,words,,draft
देना,देणे,dena,words,,draft
लेना,घेणे,lena,words,,draft
खाना (क्रिया),खाणे / जेवणे,khana,words,eat / have a meal,draft
पीना,पिणे,peena,words,,draft
देखना,बघणे,dekhna,words,,draft
सुनना,ऐकणे,sunna,words,,draft
बोलना,बोलणे,bolna,words,,draft
पढ़ना,वाचणे,padhna,words,to read — शिकणे is to study,draft
लिखना,लिहिणे,likhna,words,,draft
सोना,झोपणे,sona,words,,draft
उठना,उठणे,uthna,words,,draft
बैठना,बसणे,baithna,words,,draft
चलना,चालणे,chalna,words,,draft
दौड़ना,धावणे,daudna,words,,draft
समझना,समजणे,samajhna,words,,draft
जानना,माहीत असणे,jaanna,words,,draft
चाहना,हवं असणे,chahna,words,,draft
मिलना,भेटणे,milna,words,,draft
खरीदना,विकत घेणे,kharidna,words,,draft
बेचना,विकणे,bechna,words,,draft
सीखना,शिकणे,seekhna,words,,draft
भूलना,विसरणे,bhoolna,words,,draft
याद रखना,लक्षात ठेवणे,yaad rakhna,words,,draft
रुकना,थांबणे,rukna,words,,draft
खोलना,उघडणे,kholna,words,,draft
बंद करना,बंद करणे,band karna,words,,draft
