hindi,marathi,english,roman,situation,note,status
आपकी उम्र क्या है?,तुमचं वय काय आहे?,how old are you?,aapki umra kya hai,intro,,draft
क्या आप शादीशुदा हैं?,तुमचं लग्न झालं आहे का?,are you married?,kya aap shaadishuda hain,intro,,draft
मैं मराठी सीख रहा हूँ,मी मराठी शिकतोय,I'm learning Marathi,main marathi seekh raha hoon,intro,male — female शिकतेय,draft
मुझे थोड़ी मराठी आती है,मला थोडं मराठी येतं,I know a little Marathi,mujhe thodi marathi aati hai,intro,,draft
मुझे मराठी नहीं आती,मला मराठी येत नाही,I don't know Marathi,mujhe marathi nahi aati,intro,,draft
हाँ,हो,yes,haan,talk,,draft
नहीं,नाही,no,nahi,talk,,draft
ठीक है,ठीक आहे,okay,theek hai,talk,बरं is the casual one,draft
अच्छा,बरं,I see / alright,achha,talk,,draft
शायद,कदाचित,maybe,shayad,talk,,draft
ज़रूर,नक्की,certainly,zaroor,talk,,draft
बिल्कुल,अगदी,absolutely,bilkul,talk,,draft
क्यों?,का?,why?,kyon,talk,,draft
क्या?,काय?,what?,kya,talk,,draft
कैसे?,कसं?,how?,kaise,talk,,draft
कहाँ?,कुठे?,where?,kahan,talk,,draft
कब?,कधी?,when?,kab,talk,,draft
कौन?,कोण?,who?,kaun,talk,,draft
कितना?,किती?,how much?,kitna,talk,,draft
कौन सा?,कोणता?,which one?,kaun sa,talk,,draft
मुझे समझ नहीं आया,मला समजलं नाही,I didn't understand,mujhe samajh nahi aaya,talk,,draft
समझ गया,समजलं,got it,samajh gaya,talk,,draft
धीरे बोलिए,हळू बोला,please speak slowly,dheere boliye,talk,,draft
फिर से बोलिए,पुन्हा सांगा,please say that again,phir se boliye,talk,,draft
क्या आप हिंदी बोलते हैं?,तुम्ही हिंदी बोलता का?,do you speak Hindi?,kya aap hindi bolte hain,talk,,draft
इसे मराठी में क्या कहते हैं?,याला मराठीत काय म्हणतात?,what is this called in Marathi?,ise marathi mein kya kehte hain,talk,,draft
इसका मतलब क्या है?,याचा अर्थ काय?,what does this mean?,iska matlab kya hai,talk,,draft
मुझे पता नहीं,मला माहीत नाही,I don't know,mujhe pata nahi,talk,,draft
मुझे लगता है,मला वाटतं,I think,mujhe lagta hai,talk,,draft
मैं सहमत हूँ,मी सहमत आहे,I agree,main sehmat hoon,talk,,draft
सच में?,खरंच?,really?,sach mein,talk,,draft
बहुत अच्छा,खूप छान,very good,bahut achha,talk,,draft
वाह!,वा!,wow!,waah,talk,,draft
चलो,चला,let's go,chalo,talk,,draft
रुको,थांबा,wait,ruko,talk,,draft
देखो,बघा,look,dekho,talk,,draft
सुनो,ऐका,listen,suno,talk,,draft
बताओ,सांगा,tell me,batao,talk,,draft
एक मिनट,एक मिनिट,one minute,ek minute,talk,,draft
जल्दी करो,लवकर करा,hurry up,jaldi karo,talk,,draft
आराम से,सावकाश,take it easy,aaram se,talk,,draft
मैं व्यस्त हूँ,मी कामात आहे,I'm busy,main vyast hoon,talk,बिझी आहे is what people say,draft
मुझे देर हो रही है,मला उशीर होतोय,I'm running late,mujhe der ho rahi hai,talk,,draft
कोई दिक्कत नहीं,काही प्रॉब्लेम नाही,no problem,koi dikkat nahi,talk,,draft
मज़ाक कर रहा हूँ,गंमत करतोय,I'm joking,mazaak kar raha hoon,talk,male — female करतेय,draft
धन्यवाद,धन्यवाद,thank you,dhanyavaad,courtesy,आभारी आहे is warmer,draft
बहुत-बहुत धन्यवाद,खूप खूप आभार,thank you very much,bahut bahut dhanyavaad,courtesy,,draft
माफ़ कीजिए,माफ करा,sorry / excuse me,maaf kijiye,courtesy,,draft
मुझे खेद है,मला वाईट वाटतं,I'm sorry,mujhe khed hai,courtesy,,draft
कृपया,कृपया,please,kripaya,courtesy,rarely said aloud — the polite verb ending does the work,draft
कोई बात नहीं,काही हरकत नाही,it's alright,koi baat nahi,courtesy,,draft
बधाई हो,अभिनंदन,congratulations,badhai ho,courtesy,,draft
शुभकामनाएँ,शुभेच्छा,best wishes,shubhkamnayen,courtesy,,draft
जन्मदिन मुबारक,वाढदिवसाच्या शुभेच्छा,happy birthday,janmdin mubarak,courtesy,,draft
दिवाली की शुभकामनाएँ,दिवाळीच्या शुभेच्छा,happy Diwali,diwali ki shubhkamnayen,courtesy,,draft
नया साल मुबारक,नवीन वर्षाच्या शुभेच्छा,happy new year,naya saal mubarak,courtesy,,draft
क्षमा करें,क्षमा करा,pardon me (formal),kshama karen,courtesy,formal,draft
एक,एक,one,ek,numbers,,draft
दो,दोन,two,do,numbers,,draft
तीन,तीन,three,teen,numbers,,draft
चार,चार,four,chaar,numbers,,draft
पाँच,पाच,five,paanch,numbers,,draft
छह,सहा,six,chhah,numbers,,draft
सात,सात,seven,saat,numbers,,draft
आठ,आठ,eight,aath,numbers,,draft
नौ,नऊ,nine,nau,numbers,,draft
दस,दहा,ten,das,numbers,,draft
ग्यारह,अकरा,eleven,gyarah,numbers,,draft
बारह,बारा,twelve,barah,numbers,,draft
पंद्रह,पंधरा,fifteen,pandrah,numbers,,draft
बीस,वीस,twenty,bees,numbers,,draft
पच्चीस,पंचवीस,twenty-five,pachees,numbers,,draft
तीस,तीस,thirty,tees,numbers,,draft
चालीस,चाळीस,forty,chalees,numbers,,draft
पचास,पन्नास,fifty,pachas,numbers,,draft
साठ,साठ,sixty,saath,numbers,,draft
सत्तर,सत्तर,seventy,sattar,numbers,,draft
अस्सी,ऐंशी,eighty,assi,numbers,,draft
नब्बे,नव्वद,ninety,nabbe,numbers,,draft
सौ,शंभर,hundred,sau,numbers,,draft
पाँच सौ,पाचशे,five hundred,paanch sau,numbers,,draft
हज़ार,हजार,thousand,hazaar,numbers,,draft
लाख,लाख,hundred thousand,lakh,numbers,,draft
आधा,अर्धा,half,aadha,numbers,,draft
पहला,पहिला,first,pehla,numbers,,draft
दूसरा,दुसरा,second,doosra,numbers,,draft
आखिरी,शेवटचा,last,aakhri,numbers,,draft
आज,आज,today,aaj,time,,draft
कल (आने वाला),उद्या,tomorrow,kal,time,tomorrow,draft
कल (बीता हुआ),काल,yesterday,kal,time,yesterday,draft
परसों,परवा,day after / day before,parson,time,,draft
अभी,आत्ता,right now,abhi,time,,draft
बाद में,नंतर,later,baad mein,time,,draft
पहले,आधी,before / earlier,pehle,time,,draft
सुबह,सकाळ,morning,subah,time,,draft
दोपहर,दुपार,afternoon,dopahar,time,,draft
शाम,संध्याकाळ,evening,shaam,time,,draft
रात,रात्र,night,raat,time,,draft
हमेशा,नेहमी,always,hamesha,time,,draft
कभी नहीं,कधीच नाही,never,kabhi nahi,time,,draft
कभी-कभी,कधी कधी,sometimes,kabhi kabhi,time,,draft
रोज़,रोज,every day,roz,time,,draft
हफ़्ता,आठवडा,week,hafta,time,,draft
महीना,महिना,month,mahina,time,,draft
साल,वर्ष,year,saal,time,,draft
घंटा,तास,hour,ghanta,time,,draft
मिनट,मिनिट,minute,minute,time,,draft
कितने बजे हैं?,किती वाजले?,what time is it?,kitne baje hain,time,,draft
पाँच बजे हैं,पाच वाजले,it's five o'clock,paanch baje hain,time,,draft
साढ़े चार,साडे चार,half past four,saadhe chaar,time,,draft
सोमवार,सोमवार,Monday,somvar,time,,draft
मंगलवार,मंगळवार,Tuesday,mangalvar,time,,draft
बुधवार,बुधवार,Wednesday,budhvar,time,,draft
गुरुवार,गुरुवार,Thursday,guruvar,time,,draft
शुक्रवार,शुक्रवार,Friday,shukravar,time,,draft
शनिवार,शनिवार,Saturday,shanivar,time,,draft
रविवार,रविवार,Sunday,ravivar,time,,draft
छुट्टी,सुट्टी,holiday / day off,chhutti,time,,draft
माँ,आई,mother,maa,family,,draft
पिता,बाबा,father,pita,family,वडील is the formal word,draft
भाई,भाऊ,brother,bhai,family,,draft
बहन,बहीण,sister,behen,family,,draft
बड़ा भाई,दादा,elder brother,bada bhai,family,दादा means elder brother in Marathi — not grandfather,draft
बड़ी बहन,ताई,elder sister,badi behen,family,,draft
छोटा भाई,लहान भाऊ,younger brother,chhota bhai,family,,draft
दादा (पिता के पिता),आजोबा,paternal grandfather,dada,family,,draft
दादी,आजी,paternal grandmother,dadi,family,,draft
नाना,आजोबा,maternal grandfather,nana,family,,draft
नानी,आजी,maternal grandmother,nani,family,,draft
चाचा,काका,paternal uncle,chacha,family,,draft
चाची,काकू,paternal aunt,chachi,family,,draft
मामा,मामा,maternal uncle,mama,family,,draft
मामी,मामी,maternal aunt,mami,family,,draft
बुआ,आत्या,father's sister,bua,family,,draft
मौसी,मावशी,mother's sister,mausi,family,,draft
पति,नवरा,husband,pati,family,,draft
पत्नी,बायको,wife,patni,family,,draft
बेटा,मुलगा,son,beta,family,,draft
बेटी,मुलगी,daughter,beti,family,,draft
बच्चा,मूल,child,bachcha,family,,draft
दोस्त,मित्र,friend,dost,family,मैत्रीण for a female friend,draft
परिवार,कुटुंब,family,parivaar,family,,draft
यह कितने का है?,हे कितीला आहे?,how much is this?,yeh kitne ka hai,market,,draft
किलो कितने का?,किलो कितीला?,how much per kilo?,kilo kitne ka,market,,draft
बहुत महँगा है,खूप महाग आहे,that's very expensive,bahut mehenga hai,market,,draft
थोड़ा कम कीजिए,थोडं कमी करा,come down a little,thoda kam kijiye,market,,draft
सही दाम बताइए,बरोबर भाव सांगा,give me your best price,sahi daam bataiye,market,,draft
मुझे यह चाहिए,मला हे हवं आहे,I want this,mujhe yeh chahiye,market,,draft
मुझे यह नहीं चाहिए,मला हे नको,I don't want this,mujhe yeh nahi chahiye,market,,draft
एक किलो दीजिए,एक किलो द्या,give me one kilo,ek kilo dijiye,market,,draft
आधा किलो,अर्धा किलो,half a kilo,aadha kilo,market,,draft
ताज़ा है?,ताजं आहे का?,is it fresh?,taaza hai,market,,draft
यह खराब है,हे खराब आहे,this one's bad,yeh kharab hai,market,,draft
और कुछ?,आणखी काही?,anything else?,aur kuchh,market,,draft
बस इतना ही,एवढंच,that's all,bas itna hi,market,,draft
छुट्टे हैं?,सुटे आहेत का?,do you have change?,chhutte hain,market,,draft
छुट्टे नहीं हैं,सुटे नाहीत,I don't have change,chhutte nahi hain,market,,draft
पैसे वापस दीजिए,पैसे परत द्या,give me the change,paise wapas dijiye,market,,draft
थैली दीजिए,पिशवी द्या,give me a bag,thaili dijiye,market,,draft
पैसे,पैसे,money,paise,market,,draft
सब्ज़ी,भाजी,vegetables,sabzi,market,,draft
फल,फळ,fruit,phal,market,,draft
आलू,बटाटा,potato,aloo,market,,draft
प्याज़,कांदा,onion,pyaaz,market,,draft
टमाटर,टोमॅटो,tomato,tamatar,market,,draft
मिर्च,मिरची,chilli,mirch,market,,draft
धनिया,कोथिंबीर,coriander,dhaniya,market,,draft
नींबू,लिंबू,lemon,nimbu,market,,draft
केला,केळं,banana,kela,market,,draft
आम,आंबा,mango,aam,market,,draft
सेब,सफरचंद,apple,seb,market,,draft
दूध,दूध,milk,doodh,market,,draft
अंडा,अंडं,egg,anda,market,,draft
चावल (कच्चा),तांदूळ,rice (uncooked),chawal,market,cooked rice is भात,draft
आटा,पीठ,flour,aata,market,,draft
दाल,डाळ,lentils,daal,market,,draft
तेल,तेल,oil,tel,market,,draft
नमक,मीठ,salt,namak,market,,draft
चीनी,साखर,sugar,cheeni,market,,draft
चाय पत्ती,चहा पावडर,tea leaves,chai patti,market,,draft
मुझे भूख लगी है,मला भूक लागली आहे,I'm hungry,mujhe bhookh lagi hai,food,,draft
मुझे प्यास लगी है,मला तहान लागली आहे,I'm thirsty,mujhe pyaas lagi hai,food,,draft
पानी दीजिए,पाणी द्या,please give me water,paani dijiye,food,,draft
खाना तैयार है?,जेवण तयार आहे का?,is the food ready?,khana taiyar hai,food,,draft
खाना बहुत अच्छा है,जेवण खूप छान आहे,the food is very good,khana bahut achha hai,food,,draft
बहुत तीखा है,खूप तिखट आहे,it's very spicy,bahut teekha hai,food,,draft
कम तीखा बनाइए,कमी तिखट करा,make it less spicy,kam teekha banaiye,food,,draft
मैं शाकाहारी हूँ,मी शाकाहारी आहे,I'm vegetarian,main shakahari hoon,food,,draft
मेन्यू दीजिए,मेन्यू द्या,"the menu, please",menu dijiye,food,,draft
बिल लाइए,बिल आणा,bring the bill,bill laiye,food,,draft
पेट भर गया,पोट भरलं,I'm full,pet bhar gaya,food,,draft
और दीजिए,अजून द्या,give me some more,aur dijiye,food,,draft
बस (काफ़ी है),पुरे,that's enough,bas,food,enough,draft
नाश्ता,न्याहारी,breakfast,nashta,food,,draft
खाना (भोजन),जेवण,food / a meal,khana,food,,draft
चाय,चहा,tea,chai,food,,draft
कॉफ़ी,कॉफी,coffee,coffee,food,,draft
रोटी,पोळी,flatbread,roti,food,,draft
चावल (पका),भात,cooked rice,chawal,food,,draft
सब्ज़ी (पकी),भाजी,cooked vegetable dish,sabzi,food,,draft
दही,दही,curd,dahi,food,,draft
मीठा,गोड,sweet,meetha,food,,draft
नमकीन,खारट,salty,namkeen,food,,draft
गरम,गरम,hot,garam,food,,draft
ठंडा,थंड,cold,thanda,food,,draft
स्वादिष्ट,चविष्ट,delicious,swadisht,food,,draft
भरपेट खाइए,पोटभर जेवा,eat your fill,bharpet khaiye,food,,draft
यह कहाँ है?,हे कुठे आहे?,where is this?,yeh kahan hai,travel,,draft
स्टेशन कहाँ है?,स्टेशन कुठे आहे?,where is the station?,station kahan hai,travel,,draft
कितनी दूर है?,किती लांब आहे?,how far is it?,kitni door hai,travel,,draft
कितना समय लगेगा?,किती वेळ लागेल?,how long will it take?,kitna samay lagega,travel,,draft
सीधे जाइए,सरळ जा,go straight,seedhe jaiye,travel,,draft
बाएँ मुड़िए,डावीकडे वळा,turn left,baayen mudiye,travel,,draft
दाएँ मुड़िए,उजवीकडे वळा,turn right,daayen mudiye,travel,,draft
पास में,जवळ,nearby,paas mein,travel,,draft
दूर,लांब,far,door,travel,,draft
सामने,समोर,in front,saamne,travel,,draft
पीछे,मागे,behind,peechhe,travel,,draft
ऊपर,वर,above / up,oopar,travel,,draft
नीचे,खाली,below / down,neeche,travel,,draft
यहाँ,इथे,here,yahan,travel,,draft
वहाँ,तिथे,there,wahan,travel,,draft
मैं रास्ता भूल गया,मी रस्ता चुकलो,I've lost my way,main rasta bhool gaya,travel,male — female चुकले,draft
यह रास्ता कहाँ जाता है?,हा रस्ता कुठे जातो?,where does this road go?,yeh rasta kahan jata hai,travel,,draft
यहाँ रोकिए,इथे थांबा,stop here,yahan rokiye,travel,,draft
कितना हुआ?,किती झाले?,how much is it?,kitna hua,travel,,draft
मीटर से चलिए,मीटरने चला,go by the meter,meter se chaliye,travel,,draft
शेयर में?,शेअरमध्ये?,shared ride?,share mein,travel,,draft
जल्दी चलिए,लवकर चला,please go quickly,jaldi chaliye,travel,,draft
आराम से चलाइए,सावकाश चालवा,drive slowly,aaram se chalaiye,travel,,draft
अगला स्टेशन कौन सा है?,पुढचं स्टेशन कोणतं?,which is the next station?,agla station kaun sa hai,travel,,draft
यह ट्रेन कहाँ जाती है?,ही ट्रेन कुठे जाते?,where does this train go?,yeh train kahan jaati hai,travel,,draft
टिकट कहाँ मिलेगा?,तिकीट कुठे मिळेल?,where do I get a ticket?,ticket kahan milega,travel,,draft
एक टिकट दीजिए,एक तिकीट द्या,"one ticket, please",ek ticket dijiye,travel,,draft
वापसी टिकट,परतीचं तिकीट,return ticket,wapsi ticket,travel,,draft
बस कब आएगी?,बस कधी येईल?,when will the bus come?,bus kab aayegi,travel,,draft
थोड़ा खिसकिए,जरा सरका,move over a little,thoda khiskiye,travel,,draft
उतरना है,उतरायचं आहे,I need to get off,utarna hai,travel,,draft
रास्ता दीजिए,वाट द्या,let me through,rasta dijiye,travel,,draft
रिक्शा,रिक्षा,auto rickshaw,rickshaw,travel,,draft
गाड़ी,गाडी,vehicle / train,gaadi,travel,,draft
सड़क,रस्ता,road,sadak,travel,,draft
पुल,पूल,bridge,pul,travel,,draft
मोड़,वळण,turning,mod,travel,,draft
घर पर कोई है?,घरी कोणी आहे का?,is anyone home?,ghar par koi hai,home,,draft
अंदर आइए,आत या,come inside,andar aaiye,home,,draft
दरवाज़ा बंद कीजिए,दार बंद करा,close the door,darwaza band kijiye,home,,draft
लाइट बंद करो,लाईट बंद कर,turn off the light,light band karo,home,casual,draft
पंखा चालू करो,पंखा चालू कर,turn on the fan,pankha chalu karo,home,casual,draft
पानी नहीं आ रहा,पाणी येत नाहीये,there's no water,paani nahi aa raha,home,,draft
बिजली गई,लाईट गेली,the power's gone,bijli gayi,home,,draft
कचरा,कचरा,rubbish,kachra,home,,draft
सफ़ाई,साफसफाई,cleaning,safai,home,,draft
कपड़े,कपडे,clothes,kapde,home,,draft
बर्तन,भांडी,dishes,bartan,home,,draft
चाबी,किल्ली,key,chaabi,home,,draft
कमरा,खोली,room,kamra,home,,draft
रसोई,स्वयंपाकघर,kitchen,rasoi,home,,draft
बाथरूम,बाथरूम,bathroom,bathroom,home,,draft
छत,गच्ची,terrace / roof,chhat,home,,draft
सीढ़ी,जिना,stairs,seedhi,home,,draft
लिफ़्ट,लिफ्ट,lift,lift,home,,draft
किराया,भाडं,rent,kiraya,home,,draft
मकान मालिक,घरमालक,landlord,makaan malik,home,,draft
पड़ोसी,शेजारी,neighbour,padosi,home,,draft
काम वाली,कामवाली,house help,kaam wali,home,मावशी is the respectful way to address her,draft
दूध वाला,दूधवाला,milkman,doodh wala,home,,draft
सोसाइटी,सोसायटी,housing society,society,home,,draft
मीटिंग कब है?,मीटिंग कधी आहे?,when is the meeting?,meeting kab hai,office,,draft
काम हो गया?,काम झालं का?,is the work done?,kaam ho gaya,office,,draft
काम बाकी है,काम बाकी आहे,there's work left,kaam baaki hai,office,,draft
मैं छुट्टी पर हूँ,मी सुट्टीवर आहे,I'm on leave,main chhutti par hoon,office,,draft
कल छुट्टी है,उद्या सुट्टी आहे,tomorrow is a holiday,kal chhutti hai,office,,draft
साहब आए हैं?,साहेब आले आहेत का?,has sir come in?,sahab aaye hain,office,,draft
फ़ाइल कहाँ है?,फाईल कुठे आहे?,where is the file?,file kahan hai,office,,draft
साइन कीजिए,सही करा,please sign,sign kijiye,office,,draft
ईमेल भेज दिया,ईमेल पाठवला,I've sent the email,email bhej diya,office,,draft
कॉल कीजिए,फोन करा,please call,call kijiye,office,,draft
मैं बाद में बात करता हूँ,मी नंतर बोलतो,I'll talk later,main baad mein baat karta hoon,office,male — female बोलते,draft
तनख़्वाह,पगार,salary,tankhwah,office,,draft
दफ़्तर,ऑफिस,office,daftar,office,कार्यालय is the formal word,draft
मालिक,मालक,owner / boss,malik,office,,draft
सहकर्मी,सहकारी,colleague,sahkarmi,office,,draft
हैलो,हॅलो,hello (on the phone),hello,phone,,draft
कौन बोल रहा है?,कोण बोलतंय?,who's speaking?,kaun bol raha hai,phone,,draft
मैं ___ बोल रहा हूँ,मी ___ बोलतोय,this is ___ speaking,main bol raha hoon,phone,male — female बोलतेय,draft
आवाज़ नहीं आ रही,आवाज येत नाहीये,I can't hear you,awaaz nahi aa rahi,phone,,draft
बाद में कॉल करता हूँ,नंतर फोन करतो,I'll call later,baad mein call karta hoon,phone,male — female करते,draft
नंबर क्या है?,नंबर काय आहे?,what's the number?,number kya hai,phone,,draft
मिस्ड कॉल दे दो,मिस कॉल दे,give me a missed call,missed call de do,phone,casual,draft
फ़ोन बंद है,फोन बंद आहे,the phone is off,phone band hai,phone,,draft
नेटवर्क नहीं है,नेटवर्क नाहीये,there's no network,network nahi hai,phone,,draft
मैसेज कर दो,मेसेज कर,send a message,message kar do,phone,casual,draft
मेरी तबीयत ठीक नहीं है,माझी तब्येत बरी नाही,I'm not feeling well,meri tabiyat theek nahi hai,health,,draft
मुझे बुखार है,मला ताप आहे,I have a fever,mujhe bukhar hai,health,,draft
सिर दर्द हो रहा है,डोकं दुखतंय,I have a headache,sir dard ho raha hai,health,,draft
पेट दर्द हो रहा है,पोट दुखतंय,I have a stomach ache,pet dard ho raha hai,health,,draft
खाँसी है,खोकला आहे,I have a cough,khansi hai,health,,draft
सर्दी हो गई,सर्दी झाली,I've caught a cold,sardi ho gayi,health,,draft
चक्कर आ रहे हैं,चक्कर येतायत,I feel dizzy,chakkar aa rahe hain,health,,draft
दवा,औषध,medicine,dawa,health,,draft
डॉक्टर,डॉक्टर,doctor,doctor,health,,draft
अस्पताल,हॉस्पिटल,hospital,aspatal,health,रुग्णालय is the formal word,draft
दवाई की दुकान,मेडिकल,chemist / pharmacy,dawai ki dukaan,health,,draft
यह दवा कब लेनी है?,हे औषध कधी घ्यायचं?,when do I take this medicine?,yeh dawa kab leni hai,health,,draft
खाने के बाद,जेवणानंतर,after meals,khane ke baad,health,,draft
खाने से पहले,जेवणाआधी,before meals,khane se pehle,health,,draft
आराम कीजिए,आराम करा,please rest,aaram kijiye,health,,draft
जल्दी ठीक हो जाइए,लवकर बरे व्हा,get well soon,jaldi theek ho jaiye,health,,draft
दर्द,दुखणं,pain,dard,health,,draft
चोट,जखम,injury,chot,health,,draft
आँख,डोळा,eye,aankh,health,,draft
कान,कान,ear,kaan,health,,draft
नाक,नाक,nose,naak,health,,draft
हाथ,हात,hand,haath,health,,draft
पैर,पाय,leg / foot,pair,health,,draft
पीठ,पाठ,back,peeth,health,,draft
दाँत,दात,tooth,daant,health,,draft
मुझे मदद चाहिए,मला मदत हवी आहे,I need help,mujhe madad chahiye,help,,draft
डॉक्टर को बुलाइए,डॉक्टरांना बोलवा,call a doctor,doctor ko bulaiye,help,,draft
पुलिस को बुलाइए,पोलिसांना बोलवा,call the police,police ko bulaiye,help,,draft
एम्बुलेंस बुलाइए,अँब्युलन्स बोलवा,call an ambulance,ambulance bulaiye,help,,draft
आग लगी है,आग लागली आहे,there's a fire,aag lagi hai,help,,draft
चोर!,चोर!,thief!,chor,help,,draft
बचाओ!,वाचवा!,help!,bachao,help,,draft
मेरा फ़ोन खो गया,माझा फोन हरवला,I've lost my phone,mera phone kho gaya,help,,draft
मेरा बटुआ खो गया,माझं पाकीट हरवलं,I've lost my wallet,mera batua kho gaya,help,,draft
मैं खो गया हूँ,मी हरवलो आहे,I'm lost,main kho gaya hoon,help,male — female हरवले,draft
जल्दी आइए,लवकर या,come quickly,jaldi aaiye,help,,draft
सावधान,सावध,be careful,savdhan,help,,draft
ख़तरा,धोका,danger,khatra,help,,draft
पुलिस स्टेशन कहाँ है?,पोलीस स्टेशन कुठे आहे?,where is the police station?,police station kahan hai,help,,draft
यह मुझे दिखाइए,हे मला दाखवा,show me this,yeh mujhe dikhaiye,shopping,,draft
दूसरा रंग है?,दुसरा रंग आहे का?,do you have another colour?,doosra rang hai,shopping,,draft
बड़ा साइज़ है?,मोठा साईज आहे का?,do you have a bigger size?,bada size hai,shopping,,draft
छोटा साइज़,लहान साईज,smaller size,chhota size,shopping,,draft
ट्राई कर सकता हूँ?,घालून बघू का?,can I try it on?,try kar sakta hoon,shopping,for clothes,draft
यह पसंद आया,हे आवडलं,I like this,yeh pasand aaya,shopping,,draft
यह पसंद नहीं आया,हे आवडलं नाही,I don't like this,yeh pasand nahi aaya,shopping,,draft
कार्ड चलेगा?,कार्ड चालेल का?,do you take card?,card chalega,shopping,,draft
यूपीआई चलेगा?,यूपीआय चालेल का?,do you take UPI?,UPI chalega,shopping,,draft
बिल दीजिए,बिल द्या,give me the bill,bill dijiye,shopping,,draft
वापस कर सकते हैं?,परत करता येईल का?,can this be returned?,wapas kar sakte hain,shopping,,draft
दुकान कब खुलती है?,दुकान कधी उघडतं?,when does the shop open?,dukaan kab khulti hai,shopping,,draft
दुकान कब बंद होती है?,दुकान कधी बंद होतं?,when does the shop close?,dukaan kab band hoti hai,shopping,,draft
कपड़ा,कापड,cloth,kapda,shopping,,draft
साड़ी,साडी,saree,saree,shopping,,draft
कमीज़,शर्ट,shirt,kameez,shopping,,draft
जूते,बूट,shoes,joote,shopping,,draft
चप्पल,चप्पल,slippers,chappal,shopping,,draft
बैग,बॅग,bag,bag,shopping,,draft
लाल,लाल,red,laal,shopping,,draft
नीला,निळा,blue,neela,shopping,,draft
हरा,हिरवा,green,hara,shopping,,draft
पीला,पिवळा,yellow,peela,shopping,,draft
सफ़ेद,पांढरा,white,safed,shopping,,draft
काला,काळा,black,kaala,shopping,,draft
आज गर्मी है,आज गरम आहे,it's hot today,aaj garmi hai,weather,उकडतंय — it's sweltering,draft
आज ठंड है,आज थंडी आहे,it's cold today,aaj thand hai,weather,,draft
बारिश हो रही है,पाऊस पडतोय,it's raining,baarish ho rahi hai,weather,,draft
बारिश आएगी,पाऊस येईल,it's going to rain,baarish aayegi,weather,,draft
छाता लो,छत्री घे,take an umbrella,chhata lo,weather,casual,draft
मौसम अच्छा है,हवा छान आहे,the weather is nice,mausam achha hai,weather,,draft
बहुत उमस है,खूप दमट आहे,it's very humid,bahut umas hai,weather,,draft
धूप,ऊन,sunshine,dhoop,weather,,draft
हवा,वारा,wind,hawa,weather,,draft
बादल,ढग,clouds,baadal,weather,,draft
मानसून,पावसाळा,monsoon,monsoon,weather,,draft
गर्मी का मौसम,उन्हाळा,summer,garmi ka mausam,weather,,draft
