id,hi_m,hi_f,hi_n,mr_m,mr_f,mr_n,en,form,takes,note
p19,{X} का रास्ता बताइए,{X} का रास्ता बताइए,{X} का रास्ता बताइए,{X}चा रस्ता सांगा,{X}चा रस्ता सांगा,{X}चा रस्ता सांगा,tell me the way to the {X},oblique,place,
p20,{X} कब आएगा?,{X} कब आएगी?,{X} कब आएगा?,{X} कधी येईल?,{X} कधी येईल?,{X} कधी येईल?,when will the {X} come?,direct,transport|person,
p21,{X} आ गया?,{X} आ गई?,{X} आ गया?,{X} आला का?,{X} आली का?,{X} आलं का?,has the {X} come?,direct,transport|person,
p22,{X} को बुलाइए,{X} को बुलाइए,{X} को बुलाइए,{X}ला बोलवा,{X}ला बोलवा,{X}ला बोलवा,call the {X},dative,person,
p23,{X} से पूछिए,{X} से पूछिए,{X} से पूछिए,{X}ला विचारा,{X}ला विचारा,{X}ला विचारा,ask the {X},dative,person,
p24,{X} कौन है?,{X} कौन है?,{X} कौन है?,{X} कोण आहे?,{X} कोण आहे?,{X} कोण आहे?,who is the {X}?,direct,person,
p25,मेरा {X} खो गया,मेरी {X} खो गई,मेरा {X} खो गया,माझा {X} हरवला,माझी {X} हरवली,माझं {X} हरवलं,I've lost my {X},direct,thing,
p26,मेरा {X} कहाँ है?,मेरी {X} कहाँ है?,मेरा {X} कहाँ है?,माझा {X} कुठे आहे?,माझी {X} कुठे आहे?,माझं {X} कुठे आहे?,where is my {X}?,direct,thing,
p27,यह {X} है,यह {X} है,यह {X} है,हा {X} आहे,ही {X} आहे,हे {X} आहे,this is a {X},direct,thing|place|person|food,
p28,वह {X} है,वह {X} है,वह {X} है,तो {X} आहे,ती {X} आहे,ते {X} आहे,that is a {X},direct,thing|place|person,
p29,{X} अच्छा है,{X} अच्छी है,{X} अच्छा है,{X} चांगला आहे,{X} चांगली आहे,{X} चांगलं आहे,the {X} is good,direct,thing|place|food,
p30,{X} खराब है,{X} खराब है,{X} खराब है,{X} खराब आहे,{X} खराब आहे,{X} खराब आहे,the {X} is bad,direct,thing|food,
p31,{X} लाइए,{X} लाइए,{X} लाइए,{X} आणा,{X} आणा,{X} आणा,bring the {X},direct,thing|food,
p32,{X} ले लीजिए,{X} ले लीजिए,{X} ले लीजिए,{X} घ्या,{X} घ्या,{X} घ्या,take the {X},direct,thing|food,
p33,{X} रखिए,{X} रखिए,{X} रखिए,{X} ठेवा,{X} ठेवा,{X} ठेवा,keep the {X},direct,thing,
p34,{X} दिखाइए,{X} दिखाइए,{X} दिखाइए,{X} दाखवा,{X} दाखवा,{X} दाखवा,show me the {X},direct,thing|food,
p35,{X} साफ़ कीजिए,{X} साफ़ कीजिए,{X} साफ़ कीजिए,{X} साफ करा,{X} साफ करा,{X} साफ करा,clean the {X},direct,thing|place,
p36,{X} खोलिए,{X} खोलिए,{X} खोलिए,{X} उघडा,{X} उघडा,{X} उघडा,open the {X},direct,thing|place,
p37,{X} बंद कीजिए,{X} बंद कीजिए,{X} बंद कीजिए,{X} बंद करा,{X} बंद करा,{X} बंद करा,close the {X},direct,thing|place,
p38,{X} के बिना,{X} के बिना,{X} के बिना,{X}शिवाय,{X}शिवाय,{X}शिवाय,without the {X},oblique,thing|food,
p39,{X} के लिए,{X} के लिए,{X} के लिए,{X}साठी,{X}साठी,{X}साठी,for the {X},oblique,thing|food|place,
p40,{X} के साथ,{X} के साथ,{X} के साथ,{X}बरोबर,{X}बरोबर,{X}बरोबर,with the {X},oblique,person|thing,
