hi,mr,en,hi_gender,mr_gender,mr_oblique,honorific,category
हवाई जहाज़,विमान,aeroplane,m,n,विमाना,,transport
डॉक्टर,डॉक्टर,doctor,m,m,डॉक्टरां,1,person
नर्स,नर्स,nurse,f,f,नर्स,,person
दुकानदार,दुकानदार,shopkeeper,m,m,दुकानदारा,,person
ड्राइवर,ड्रायव्हर,driver,m,m,ड्रायव्हरा,,person
कंडक्टर,कंडक्टर,conductor,m,m,कंडक्टरा,,person
वॉचमैन,वॉचमन,watchman,m,m,वॉचमना,,person
पुलिस,पोलीस,police,f,m,पोलिसां,1,person
शिक्षक,शिक्षक,teacher,m,m,शिक्षकां,1,person
बच्चा,मूल,child,m,n,मुला,,person
आदमी,माणूस,man,m,m,माणसा,,person
औरत,बाई,woman,f,f,बाई,,person
दोस्त,मित्र,friend,m,m,मित्रा,,person
पड़ोसी,शेजारी,neighbour,m,m,शेजाऱ्या,,person
मालिक,मालक,owner,m,m,मालका,,person
मेहमान,पाहुणा,guest,m,m,पाहुण्या,,person
